trip_id,load_id,driver_id,truck_id,route_id,customer_id,dispatch_date,dispatch_year,dispatch_month,dispatch_day_of_week,is_weekend,booking_type,actual_distance_miles,actual_duration_hours,total_revenue,actual_fuel_cost,allocated_maint_cost,true_total_cost,true_net_profit,revenue_per_mile,true_cost_per_mile,average_mpg,idle_time_hours,flag_anomaly_mpg,flag_excessive_idle
TRIP00000019,LOAD00000019,DRV00142,TRK00040,RTE00012,CUST00092,2022-01-01,2022,1,Saturday,1,Dedicated,2554,44.7,6463.82,1380.4499999999998,119.80992047516747,1500.2599204751673,4963.560079524832,2.530861393891934,0.5874157871868314,6.59,3.7,0,0
TRIP00000020,LOAD00000020,DRV00118,TRK00010,RTE00001,CUST00029,2022-01-01,2022,1,Saturday,1,Dedicated,664,10.3,1349.3600000000001,566.56,31.14870289565826,597.7087028956582,751.6512971043419,2.0321686746987955,0.9001637091802082,7.17,8.1,0,1
TRIP00000021,LOAD00000021,DRV00066,TRK00058,RTE00042,CUST00047,2022-01-01,2022,1,Saturday,1,Contract,2800,48.0,7015.67,1478.94,131.34995196964329,1610.2899519696434,5405.380048030356,2.5055964285714287,0.5751035542748727,6.32,6.1,0,0
TRIP00000022,LOAD00000022,DRV00114,TRK00078,RTE00009,CUST00018,2022-01-01,2022,1,Saturday,1,Contract,883,14.6,1954.05,1013.6800000000001,41.42214556756965,1055.1021455675698,898.9478544324302,2.2129671574178933,1.1949061671206906,5.73,9.7,0,1
TRIP00000023,LOAD00000023,DRV00117,TRK00026,RTE00048,CUST00007,2022-01-01,2022,1,Saturday,1,Dedicated,2495,46.4,6389.87,785.07,117.04218934437856,902.1121893443786,5487.757810655621,2.561070140280561,0.361568011761274,6.57,9.8,0,0
TRIP00000024,LOAD00000024,DRV00082,TRK00001,RTE00035,CUST00041,2022-01-01,2022,1,Saturday,1,Contract,1272,19.9,2391.54,1597.44,59.67040675192366,1657.1104067519236,734.4295932480763,1.8801415094339622,1.3027597537357891,6.33,3.9,0,0
TRIP00000025,LOAD00000025,DRV00053,TRK00018,RTE00034,CUST00036,2022-01-01,2022,1,Saturday,1,Dedicated,2415,41.3,5272.17,1963.08,113.28933357381733,2076.369333573817,3195.800666426183,2.1830931677018635,0.8597802623494066,6.49,9.7,0,0
TRIP00000026,LOAD00000026,DRV00102,TRK00076,RTE00022,CUST00033,2022-01-01,2022,1,Saturday,1,Contract,564,9.4,1253.51,1721.45,26.457633182456718,1747.9076331824567,-494.39763318245673,2.222535460992908,3.099127009188753,6.12,3.1,0,1
TRIP00000027,LOAD00000027,DRV00050,TRK00019,RTE00058,CUST00065,2022-01-01,2022,1,Saturday,1,Spot,522,8.3,1393.74,2996.05,24.487383902912068,3020.537383902912,-1626.797383902912,2.67,5.786470084105195,6.3,6.6,0,1
TRIP00000028,LOAD00000028,DRV00114,TRK00111,RTE00004,CUST00073,2022-01-01,2022,1,Saturday,1,Dedicated,1979,34.2,4555.01,2343.8,92.83626962425859,2436.6362696242586,2118.3737303757416,2.3016725618999496,1.2312462201234253,5.94,4.3,0,0
TRIP00000029,LOAD00000029,DRV00139,TRK00024,RTE00026,CUST00055,2022-01-01,2022,1,Saturday,1,Spot,2006,32.7,3616.18,440.83,94.102858446823,534.932858446823,3081.247141553177,1.8026819541375871,0.26666642993361067,7.47,2.0,0,0
TRIP00000030,LOAD00000030,DRV00088,TRK00076,RTE00010,CUST00136,2022-01-01,2022,1,Saturday,1,Contract,91,1.6,382.24,249.58,4.268873439013406,253.84887343901343,128.39112656098658,4.200439560439561,2.7895480597693783,5.7,9.7,0,1
TRIP00000031,LOAD00000031,DRV00036,TRK00071,RTE00042,CUST00135,2022-01-01,2022,1,Saturday,1,Dedicated,2615,48.0,5958.26,1923.42,122.67147300022042,2046.0914730002205,3912.1685269997797,2.2784933078393883,0.7824441579350747,6.25,10.6,0,0
TRIP00000032,LOAD00000032,DRV00085,TRK00069,RTE00006,CUST00076,2022-01-01,2022,1,Saturday,1,Spot,700,11.9,1630.88,3467.29,32.83748799241082,3500.127487992411,-1869.2474879924107,2.3298285714285716,5.000182125703444,6.57,6.6,0,1
TRIP00000033,LOAD00000033,DRV00083,TRK00064,RTE00033,CUST00029,2022-01-01,2022,1,Saturday,1,Dedicated,176,3.2,437.72999999999996,641.7,8.25628269523472,649.9562826952348,-212.22628269523483,2.4871022727272725,3.692933424404743,7.11,6.1,0,1
TRIP00000034,LOAD00000034,DRV00053,TRK00054,RTE00034,CUST00079,2022-01-01,2022,1,Saturday,1,Contract,2464,40.9,6203.96,1208.96,115.58795773328609,1324.5479577332862,4879.412042266714,2.5178409090909093,0.5375600477813661,6.26,11.9,0,0
TRIP00000035,LOAD00000035,DRV00113,TRK00009,RTE00026,CUST00016,2022-01-01,2022,1,Saturday,1,Dedicated,2054,32.7,3964.06,1405.54,96.35457190915974,1501.8945719091598,2462.16542809084,1.9299221032132425,0.7312047575020252,6.81,5.1,0,0
TRIP00000036,LOAD00000036,DRV00124,TRK00038,RTE00020,CUST00081,2022-01-01,2022,1,Saturday,1,Spot,2285,42.8,4993.959999999999,0.0,107.19094294665531,107.19094294665531,4886.769057053344,2.1855404814004373,0.046910697132015455,6.64,6.9,0,0
TRIP00000037,LOAD00000037,DRV00018,TRK00085,RTE00055,CUST00102,2022-01-01,2022,1,Saturday,1,Dedicated,1535,26.5,4205.37,1119.23,72.00792009764372,1191.2379200976438,3014.132079902356,2.739654723127036,0.7760507622785954,6.14,10.9,0,1
TRIP00000038,LOAD00000038,DRV00033,TRK00089,RTE00022,CUST00119,2022-01-01,2022,1,Saturday,1,Spot,598,9.6,1355.95,399.19,28.052596884945242,427.2425968849452,928.7074031150548,2.2674749163879597,0.7144525031520823,6.24,11.0,0,1
TRIP00000039,LOAD00000039,DRV00112,TRK00062,RTE00025,CUST00044,2022-01-01,2022,1,Saturday,1,Dedicated,3143,57.7,5977.41,1164.59,147.44032108592458,1312.0303210859245,4665.379678914075,1.9018167356029272,0.4174452182901446,5.61,6.5,0,0
TRIP00000040,LOAD00000040,DRV00044,TRK00001,RTE00016,CUST00114,2022-01-01,2022,1,Saturday,1,Dedicated,2835,45.5,6513.09,1717.57,132.9918263692638,1850.5618263692638,4662.528173630736,2.2973862433862435,0.652755494310146,7.08,7.0,0,0
TRIP00000041,LOAD00000041,DRV00124,TRK00020,RTE00007,CUST00017,2022-01-01,2022,1,Saturday,1,Dedicated,1627,32.0,4913.799999999999,2729.92,76.32370423378914,2806.2437042337892,2107.55629576621,3.0201598033189914,1.7247963762961211,7.33,6.7,0,0
TRIP00000042,LOAD00000042,DRV00020,TRK00089,RTE00033,CUST00027,2022-01-01,2022,1,Saturday,1,Dedicated,164,3.1,470.66999999999996,673.83,7.693354329650535,681.5233543296506,-210.85335432965064,2.8699390243902436,4.155630209327138,6.61,11.5,0,1
TRIP00000043,LOAD00000043,DRV00026,TRK00010,RTE00042,CUST00185,2022-01-01,2022,1,Saturday,1,Dedicated,2583,48.6,7638.4800000000005,762.53,121.17033069199591,883.7003306919959,6754.7796693080045,2.9572125435540073,0.342121692099108,5.52,11.7,0,0
TRIP00000044,LOAD00000044,DRV00102,TRK00079,RTE00056,CUST00190,2022-01-01,2022,1,Saturday,1,Dedicated,1796,34.8,4729.34,847.71,84.25161204909976,931.9616120490998,3797.3783879509,2.6332628062360803,0.5189095835462694,5.51,7.8,0,0
TRIP00000045,LOAD00000045,DRV00117,TRK00061,RTE00031,CUST00060,2022-01-01,2022,1,Saturday,1,Dedicated,658,11.4,1582.8999999999999,404.17,30.86723871286617,435.03723871286616,1147.8627612871337,2.405623100303951,0.6611508187125625,7.32,6.9,0,1
TRIP00000046,LOAD00000046,DRV00020,TRK00007,RTE00033,CUST00038,2022-01-01,2022,1,Saturday,1,Contract,176,3.0,589.81,588.02,8.25628269523472,596.2762826952347,-6.466282695234781,3.3511931818181817,3.3879334244047428,5.95,9.9,0,1
TRIP00000047,LOAD00000047,DRV00023,TRK00015,RTE00020,CUST00109,2022-01-01,2022,1,Saturday,1,Contract,2159,34.7,4723.08,733.48,101.28019510802137,834.7601951080214,3888.3198048919785,2.187623899953682,0.38664205424178855,7.43,5.1,0,0
TRIP00000048,LOAD00000048,DRV00085,TRK00058,RTE00053,CUST00185,2022-01-01,2022,1,Saturday,1,Spot,818,16.3,2130.1,2263.84,38.37295025398864,2302.2129502539888,-172.11295025398886,2.6040342298288506,2.814441259479204,7.39,2.7,0,0
TRIP00000049,LOAD00000049,DRV00089,TRK00090,RTE00041,CUST00003,2022-01-01,2022,1,Saturday,1,Dedicated,1304,23.8,3426.19,2516.84,61.17154906014815,2578.0115490601484,848.1784509398517,2.627446319018405,1.9770027216718928,7.33,3.1,0,0
TRIP00000050,LOAD00000050,DRV00148,TRK00050,RTE00036,CUST00137,2022-01-01,2022,1,Saturday,1,Dedicated,266,4.5,822.94,1941.38,12.478245437116112,1953.8582454371162,-1130.9182454371162,3.093759398496241,7.345331749763595,6.81,8.8,0,1
TRIP00000051,LOAD00000051,DRV00134,TRK00026,RTE00053,CUST00114,2022-01-01,2022,1,Saturday,1,Contract,788,13.3,2118.31,603.3,36.96562934002818,640.2656293400281,1478.0443706599717,2.688210659898477,0.8125198341878529,6.51,6.7,0,1
TRIP00000052,LOAD00000052,DRV00065,TRK00004,RTE00043,CUST00065,2022-01-01,2022,1,Saturday,1,Spot,1614,31.5,3008.62,0.0,75.71386517107294,75.71386517107294,2932.906134828927,1.8640768277571251,0.04691069713201545,6.31,4.6,0,0
TRIP00000053,LOAD00000053,DRV00148,TRK00024,RTE00053,CUST00039,2022-01-01,2022,1,Saturday,1,Dedicated,764,14.8,2056.89,1348.51,35.83977260885981,1384.34977260886,672.54022739114,2.6922643979057588,1.8119761421581935,6.27,8.3,0,1
TRIP00000054,LOAD00000054,DRV00047,TRK00063,RTE00045,CUST00101,2022-01-01,2022,1,Saturday,1,Contract,598,9.7,1745.87,774.97,28.052596884945242,803.0225968849453,942.8474031150546,2.919515050167224,1.342847151981514,7.46,4.6,0,1
TRIP00000055,LOAD00000055,DRV00085,TRK00004,RTE00042,CUST00030,2022-01-01,2022,1,Saturday,1,Dedicated,2615,40.9,6764.280000000001,2526.2799999999997,122.67147300022042,2648.95147300022,4115.3285269997805,2.5867227533460806,1.0129833548758012,6.76,10.6,0,0
TRIP00000056,LOAD00000056,DRV00126,TRK00015,RTE00035,CUST00115,2022-01-01,2022,1,Saturday,1,Spot,1216,24.0,2305.87,3775.32,57.043407712530794,3832.363407712531,-1526.4934077125313,1.8962746710526315,3.151614644500437,6.18,7.3,0,1
TRIP00000057,LOAD00000057,DRV00001,TRK00073,RTE00051,CUST00018,2022-01-01,2022,1,Saturday,1,Dedicated,1961,33.9,3850.19,1696.04,91.99187707588231,1788.0318770758822,2062.158122924118,1.9633809280979093,0.9117959597531271,6.74,4.9,0,0
TRIP00000058,LOAD00000058,DRV00121,TRK00030,RTE00008,CUST00181,2022-01-01,2022,1,Saturday,1,Dedicated,806,13.1,2222.7400000000002,1543.52,37.81002188840446,1581.3300218884044,641.4099781115958,2.7577419354838715,1.9619479179756878,6.54,4.6,0,1
TRIP00000059,LOAD00000059,DRV00108,TRK00090,RTE00056,CUST00156,2022-01-01,2022,1,Saturday,1,Contract,1788,27.7,4320.02,0.0,83.87632647204363,83.87632647204363,4236.143673527957,2.4161185682326622,0.046910697132015455,6.68,3.6,0,0
TRIP00000060,LOAD00000060,DRV00041,TRK00054,RTE00031,CUST00169,2022-01-01,2022,1,Saturday,1,Contract,681,10.6,1520.56,297.21,31.946184746902524,329.1561847469025,1191.4038152530975,2.232834067547724,0.4833424151936894,7.34,4.6,0,1
TRIP00000061,LOAD00000061,DRV00114,TRK00009,RTE00038,CUST00028,2022-01-01,2022,1,Saturday,1,Contract,1351,21.4,3350.56,907.9300000000001,63.37635182535288,971.306351825353,2379.253648174647,2.480059215396003,0.7189536282941177,6.48,2.8,0,0
TRIP00000062,LOAD00000062,DRV00104,TRK00002,RTE00012,CUST00071,2022-01-01,2022,1,Saturday,1,Dedicated,2483,41.3,6678.889999999999,620.94,116.47926097879437,737.4192609787945,5941.470739021205,2.6898469593233987,0.2969872174703159,5.82,2.2,0,0
TRIP00000063,LOAD00000063,DRV00079,TRK00115,RTE00008,CUST00170,2022-01-01,2022,1,Saturday,1,Contract,787,12.9,2608.8900000000003,1791.29,36.91871864289617,1828.2087186428962,780.6812813571041,3.314980940279543,2.3230098076783943,6.67,5.4,0,1
TRIP00000064,LOAD00000064,DRV00050,TRK00043,RTE00030,CUST00070,2022-01-01,2022,1,Saturday,1,Dedicated,2197,41.0,6481.77,3257.54,103.06280159903795,3360.602801599038,3121.1671984009627,2.9502822030040967,1.5296325906231396,7.01,11.6,0,0
TRIP00000065,LOAD00000065,DRV00003,TRK00082,RTE00022,CUST00084,2022-01-01,2022,1,Saturday,1,Contract,598,10.8,1212.92,1586.24,28.052596884945242,1614.2925968849452,-401.3725968849451,2.028294314381271,2.6994859479681357,6.65,10.9,0,1
TRIP00000066,LOAD00000066,DRV00124,TRK00050,RTE00039,CUST00169,2022-01-01,2022,1,Saturday,1,Contract,1105,21.1,2682.7599999999998,1001.27,51.83632033087708,1053.106320330877,1629.6536796691228,2.427837104072398,0.9530373939645945,6.56,7.5,0,1
TRIP00000067,LOAD00000067,UNASSIGNED,TRK00112,RTE00046,CUST00137,2022-01-01,2022,1,Saturday,1,Dedicated,2433,40.0,6442.04,523.26,114.13372612219361,637.3937261221936,5804.646273877806,2.647776407727086,0.2619785146412633,5.69,9.2,0,0
TRIP00000068,LOAD00000068,DRV00083,TRK00091,RTE00023,CUST00022,2022-01-01,2022,1,Saturday,1,Dedicated,1308,22.5,3365.16,457.08,61.35919184867622,518.4391918486762,2846.7208081513236,2.5727522935779814,0.3963602384164191,5.6,5.8,0,0
TRIP00000069,LOAD00000069,DRV00066,TRK00092,RTE00026,CUST00095,2022-01-01,2022,1,Saturday,1,Dedicated,2119,41.5,3525.14,816.56,99.40376722274075,915.9637672227407,2609.1762327772594,1.663586597451628,0.4322622780664184,6.45,4.1,0,0
TRIP00000070,LOAD00000070,DRV00077,,RTE00013,CUST00091,2022-01-01,2022,1,Saturday,1,Contract,711,14.2,1523.98,324.47,33.353505660862986,357.823505660863,1166.156494339137,2.1434317862165964,0.5032679404512841,6.74,9.7,0,1
TRIP00000071,LOAD00000071,DRV00147,TRK00013,RTE00006,CUST00036,2022-01-01,2022,1,Saturday,1,Dedicated,708,12.5,1810.31,1103.17,33.21277356946694,1136.382773569467,673.927226430533,2.5569350282485876,1.6050604146461398,6.01,3.5,0,0
TRIP00000072,LOAD00000072,DRV00092,TRK00108,RTE00037,CUST00166,2022-01-02,2022,1,Sunday,1,Dedicated,2686,43.0,4247.02,440.73,126.00213249659352,566.7321324965935,3680.287867503407,1.5811690245718542,0.2109948371171234,6.04,10.2,0,0
TRIP00000073,LOAD00000073,DRV00055,TRK00025,RTE00032,CUST00038,2022-01-02,2022,1,Sunday,1,Contract,2322,38.0,5630.04,0.0,108.92663874053989,108.92663874053989,5521.11336125946,2.4246511627906977,0.046910697132015455,6.04,8.7,0,0
TRIP00000074,LOAD00000074,DRV00051,,RTE00016,CUST00139,2022-01-02,2022,1,Sunday,1,Spot,2937,51.6,6730.29,1887.8899999999999,137.7767174767294,2025.6667174767292,4704.623282523271,2.2915526046986723,0.6897060665565983,6.85,9.7,0,0
TRIP00000075,LOAD00000075,DRV00041,TRK00008,RTE00028,CUST00070,2022-01-02,2022,1,Sunday,1,Dedicated,2225,39.9,5040.8,653.68,104.37630111873439,758.0563011187344,4282.743698881266,2.2655280898876407,0.34069946117695926,6.73,9.7,0,0
TRIP00000076,LOAD00000076,DRV00129,TRK00048,RTE00050,CUST00177,2022-01-02,2022,1,Sunday,1,Spot,751,12.6,1364.1100000000001,0.0,35.229933546143606,35.229933546143606,1328.8800664538564,1.8163914780292945,0.046910697132015455,6.88,4.0,0,1
TRIP00000077,LOAD00000077,DRV00037,TRK00025,RTE00047,CUST00105,2022-01-02,2022,1,Sunday,1,Dedicated,485,9.1,1153.02,0.0,22.751688109027494,22.751688109027494,1130.2683118909724,2.377360824742268,0.046910697132015455,6.42,10.9,0,1
TRIP00000078,LOAD00000078,DRV00110,TRK00098,RTE00036,CUST00060,2022-01-02,2022,1,Sunday,1,Dedicated,272,4.7,885.21,2705.1,12.759709619908204,2717.8597096199082,-1832.6497096199082,3.2544485294117647,9.992131285367309,7.04,3.0,0,1
TRIP00000079,LOAD00000079,DRV00014,TRK00051,RTE00023,CUST00164,2022-01-02,2022,1,Sunday,1,Dedicated,1283,21.0,2874.39,2519.7200000000003,60.18642442037583,2579.906424420376,294.4835755796239,2.240366328916602,2.0108389901951487,5.54,5.5,0,0
TRIP00000080,LOAD00000080,DRV00053,TRK00067,RTE00033,CUST00044,2022-01-02,2022,1,Sunday,1,Spot,165,3.1,537.19,1011.75,7.74026502678255,1019.4902650267826,-482.30026502678254,3.25569696969697,6.1787288789501975,6.56,5.3,0,1
TRIP00000081,LOAD00000081,DRV00124,TRK00052,RTE00005,CUST00073,2022-01-02,2022,1,Sunday,1,Dedicated,1736,31.5,5230.969999999999,0.0,81.43697022117883,81.43697022117883,5149.5330297788205,3.0132315668202763,0.046910697132015455,5.71,8.7,0,0
TRIP00000082,LOAD00000082,DRV00060,TRK00061,RTE00052,CUST00030,2022-01-02,2022,1,Sunday,1,Dedicated,848,16.8,1640.9900000000002,2333.81,39.78027116794911,2373.590271167949,-732.6002711679489,1.9351297169811323,2.7990451310942794,7.45,8.4,0,1
TRIP00000083,LOAD00000083,DRV00013,TRK00059,RTE00042,CUST00039,2022-01-02,2022,1,Sunday,1,Spot,2689,43.8,6879.06,2103.92,126.14286458798956,2230.0628645879897,4648.997135412011,2.5582223875046486,0.8293279526173261,7.21,4.3,0,0
TRIP00000084,LOAD00000084,DRV00039,TRK00014,RTE00001,CUST00175,2022-01-02,2022,1,Sunday,1,Spot,698,13.4,1226.94,453.28,32.74366659814679,486.02366659814675,740.9163334018533,1.7577936962750718,0.6963089779343077,6.01,4.5,0,1
TRIP00000085,LOAD00000085,DRV00035,TRK00120,RTE00024,CUST00116,2022-01-02,2022,1,Sunday,1,Dedicated,1227,22.1,3680.91,1133.3899999999999,57.559425380982965,1190.9494253809828,2489.9605746190173,2.999926650366748,0.9706189285908581,7.07,6.8,0,1
TRIP00000086,LOAD00000086,DRV00121,TRK00112,RTE00021,CUST00061,2022-01-02,2022,1,Sunday,1,Dedicated,2150,33.2,6144.3,863.46,100.85799883383324,964.3179988338333,5179.982001166167,2.857813953488372,0.44851999945759685,7.12,3.8,0,0
TRIP00000087,LOAD00000087,DRV00141,TRK00096,RTE00022,CUST00078,2022-01-02,2022,1,Sunday,1,Dedicated,571,8.9,1573.71,890.7,26.786008062380827,917.4860080623808,656.2239919376192,2.756059544658494,1.6068056183229087,6.48,5.1,0,1
TRIP00000088,LOAD00000088,DRV00078,,RTE00052,CUST00039,2022-01-02,2022,1,Sunday,1,Dedicated,864,14.5,1683.98,3440.08,40.53084232206135,3480.610842322061,-1796.6308423220612,1.9490509259259259,4.028484771206089,6.76,12.0,0,1
TRIP00000089,LOAD00000089,DRV00110,TRK00064,RTE00002,CUST00071,2022-01-02,2022,1,Sunday,1,Dedicated,689,12.6,1748.24,1231.96,32.32147032395865,1264.2814703239587,483.9585296760413,2.537358490566038,1.834951335738692,6.71,10.3,0,1
TRIP00000090,LOAD00000090,DRV00049,TRK00072,RTE00046,CUST00032,2022-01-02,2022,1,Sunday,1,Contract,2318,41.9,5886.77,1054.72,108.73899595201182,1163.458995952012,4723.311004047989,2.5395901639344265,0.50192363932356,6.68,5.5,0,0
TRIP00000091,LOAD00000091,DRV00033,TRK00112,RTE00020,CUST00045,2022-01-02,2022,1,Sunday,1,Spot,2323,39.1,4498.8,1875.23,108.9735494376719,1984.2035494376719,2514.5964505623283,1.9366336633663368,0.8541556390175084,7.2,10.9,0,0
TRIP00000092,LOAD00000092,DRV00054,TRK00050,RTE00058,CUST00194,2022-01-02,2022,1,Sunday,1,Spot,543,9.4,1204.6599999999999,726.4,25.47250854268439,751.8725085426844,452.78749145731547,2.2185267034990788,1.3846639199681112,6.51,11.0,0,1
TRIP00000093,LOAD00000093,DRV00020,TRK00059,RTE00013,CUST00012,2022-01-02,2022,1,Sunday,1,Contract,699,13.9,1448.55,729.36,32.7905772952788,762.1505772952788,686.3994227047211,2.0723175965665237,1.0903441735268653,6.99,6.0,0,1
TRIP00000094,LOAD00000094,DRV00141,TRK00033,RTE00023,CUST00030,2022-01-02,2022,1,Sunday,1,Contract,1361,21.9,3164.55,2614.69,63.845458796673036,2678.535458796673,486.0145412033271,2.3251653196179283,1.9680642606882242,7.23,4.9,0,0
TRIP00000095,LOAD00000095,DRV00060,TRK00099,RTE00024,CUST00113,2022-01-02,2022,1,Sunday,1,Dedicated,1250,20.3,3713.58,0.0,58.63837141501932,58.63837141501932,3654.9416285849807,2.9708639999999997,0.046910697132015455,5.8,5.8,0,0
TRIP00000096,LOAD00000096,DRV00030,TRK00090,RTE00026,CUST00121,2022-01-02,2022,1,Sunday,1,Dedicated,1991,38.6,4267.58,2785.34,93.39919798984278,2878.739197989843,1388.840802010157,2.1434354595680563,1.4458760411802325,5.89,10.6,0,0
TRIP00000097,LOAD00000097,DRV00150,TRK00057,RTE00055,CUST00166,2022-01-02,2022,1,Sunday,1,Dedicated,1410,25.5,4443.67,0.0,66.14408295614179,66.14408295614179,4377.5259170438585,3.1515390070921985,0.046910697132015455,5.83,11.0,0,1
TRIP00000098,LOAD00000098,DRV00126,TRK00097,RTE00031,CUST00035,2022-01-02,2022,1,Sunday,1,Dedicated,682,12.5,1699.5,2638.91,31.99309544403454,2670.9030954440345,-971.4030954440345,2.4919354838709675,3.916280198598291,6.37,5.7,0,1
TRIP00000099,LOAD00000099,DRV00033,TRK00024,RTE00018,CUST00047,2022-01-02,2022,1,Sunday,1,Spot,677,11.9,1804.6999999999998,2042.85,31.75854195837446,2074.608541958374,-269.90854195837437,2.6657311669128507,3.064414389894201,5.97,6.2,0,1
TRIP00000100,LOAD00000100,DRV00005,TRK00095,RTE00044,CUST00182,2022-01-02,2022,1,Sunday,1,Spot,2683,50.1,7854.98,801.49,125.86140040519747,927.3514004051975,6927.628599594802,2.927685426761088,0.3456397317947065,7.49,11.3,0,0
